Num	Content	비고
각성 후 성진우	가족을 깊이 아낌. (가족과 관련된 일에는 무자비하게 행동함.)	
	강해지고자 하는 열망을 가지고 있음. 	
	예의 바르고 여유로움. 	
	살인에 무감각해짐. 	
	용기 있음. 	
	강인하고 자신감이 넘침.	Visualization Analysis of Sung Jin-Woo's Character in Solo Leveling Comics
	차가운 성격, 말수가 적고 침착함. 	
	겸손함. (권력의 유혹, 오만함에 빠지지 않음.) 	
	냉철함.	
	책임감.	
	복합적인 감정 표현: 외적으로는 차갑지만 내면에는 연민, 헌신, 슬픔, 복수심 등 복잡함 감정이 공존함. 	
	젠틀맨적, 이상적인 남성상. 	
	겸손함. (권력의 유혹, 오만함에 빠지지 않음.) 	
	권력에 대한 갈증을 느낌	
	인내심이 강함	
	현명함	
		
과거 성진우	헌터로써 무능하였기 때문에 소심(사람들이 최약체라 놀려도 웃으며 넘김.), 불안함.	
	연약하고 내성적인 청년.	
	가족을 부양하기 위해서 던전에 들어가는 등, 책임감 있고 희생적인 면모.	
	끈기, 인내심. 	
	약하고 도움이 안 되는 존재. 	
		
가족관계 	성일환(아버지): 소방관으로 일하다 각성 후 게이트 안에서 실종	
	박경혜(어머니): 익면증으로 병원에서 투병 중	
	성진아: 여동생	
		
그외 인물 	차해인: 동료 S급 헌터	